,hashtags,likes,replies,retweets,screen_name,text,timestamp,username
0,"['modelsinc', 'inchella', 'beyoncehomecoming', 'beyhomecoming', 'homecomingbeyoncé', 'netflix', 'homecomingnetflix', 'dmvevents', 'beyonce']",0,0,0,M0delsInc," #modelsinc HOMECOMING! A Tribute by @M0delsInc To  beyonce at coachella @netflix netflixfilm #inchella 
.
.
.
#beyoncehomecoming #beyhomecoming #homecomingbeyoncé #netflix #homecomingnetflix #dmvevents #beyonce… https://www.instagram.com/p/B4YCUmmnVsj/?igshid=19oaa6tzlmxgi …",11/2/2019 19:56,MODELS INC.
1,"['modelsinc', 'inchella', 'beyoncehomecoming', 'beyhomecoming', 'homecomingbeyoncé', 'netflix', 'homecomingnetflix', 'dmvevents', 'beyonce']",0,0,0,M0delsInc," #modelsinc HOMECOMING! A Tribute by @M0delsInc To  beyonce at coachella @netflix netflixfilm #inchella 
.
.
.
#beyoncehomecoming #beyhomecoming #homecomingbeyoncé #netflix #homecomingnetflix #dmvevents #beyonce… https://www.instagram.com/p/B4XnrWnHf_z/?igshid=1m6an9b6px0ae …",11/2/2019 16:03,MODELS INC.
2,"['modelsinc', 'inchella', 'beyoncehomecoming', 'beyhomecoming', 'homecomingbeyoncé', 'netflix', 'homecomingnetflix', 'dmvevents', 'beyonce']",0,0,0,M0delsInc," #modelsinc HOMECOMING! A Tribute by @M0delsInc To  beyonce at coachella @netflix netflixfilm #inchella 
.
.
.
#beyoncehomecoming #beyhomecoming #homecomingbeyoncé #netflix #homecomingnetflix #dmvevents #beyonce… https://www.instagram.com/p/B4WmTxcHtNS/?igshid=10kc14auk2ysc …",11/2/2019 6:32,MODELS INC.
3,"['modelsinc', 'inchella', 'beyoncehomecoming', 'beyhomecoming', 'homecomingbeyoncé', 'netflix', 'homecomingnetflix', 'dmvevents', 'beyonce']",0,0,0,M0delsInc," #modelsinc HOMECOMING! A Tribute by @M0delsInc To  beyonce at coachella @netflix netflixfilm #inchella 
.
.
.
#beyoncehomecoming #beyhomecoming #homecomingbeyoncé #netflix #homecomingnetflix #dmvevents #beyonce… https://www.instagram.com/p/B4Vs4aMnQkA/?igshid=wu4iepbffqay …",11/1/2019 22:10,MODELS INC.
4,['homecomingnetflix'],0,0,0,NadineEllis,Happy Halloween from Beychella Weeks 1 & 2!! It only took 17 tries to get our one selfie...we’re not good at selfies. People thought we were cheerleaders  huh?? who hasn’t seen beyonce #homecomingnetflix… https://www.instagram.com/p/B4S_ddPH7VY/?igshid=zljv4zh1csgs …,10/31/2019 20:55,Nadine Ellis
5,"['modelsinc', 'inchella', 'beyoncehomecoming', 'beyhomecoming', 'homecomingbeyoncé', 'netflix', 'homecomingnetflix', 'beyonce', 'beychella']",0,0,0,M0delsInc," #modelsinc HOMECOMING! A Tribute by @M0delsInc To  beyonce at coachella @netflix netflixfilm #inchella 
.
.
.
#beyoncehomecoming #beyhomecoming #homecomingbeyoncé #netflix #homecomingnetflix #beyonce #beychella… https://www.instagram.com/p/B4RHbJwH6Ct/?igshid=1p5vn0jtu16ss …",10/31/2019 3:26,MODELS INC.
6,"['modelsinc', 'inchella', 'beyoncehomecoming', 'beyhomecoming', 'homecomingbeyoncé', 'netflix', 'homecomingnetflix', 'beyonce', 'beychella']",0,0,0,M0delsInc," #modelsinc HOMECOMING! A Tribute by @M0delsInc To  beyonce at coachella @netflix netflixfilm #inchella 
.
.
.
#beyoncehomecoming #beyhomecoming #homecomingbeyoncé #netflix #homecomingnetflix #beyonce #beychella… https://www.instagram.com/p/B4P6BqwHZD6/?igshid=1n5pg2uvxlxvg …",10/30/2019 16:10,MODELS INC.
7,"['modelsinc', 'inchella', 'beyoncehomecoming', 'beyhomecoming', 'homecomingbeyoncé', 'netflix', 'homecomingnetflix', 'beyonce', 'beychella']",0,0,0,M0delsInc," #modelsinc HOMECOMING! A Tribute by @M0delsInc To  beyonce at coachella @netflix netflixfilm #inchella 
.
.
.
#beyoncehomecoming #beyhomecoming #homecomingbeyoncé #netflix #homecomingnetflix #beyonce #beychella… https://www.instagram.com/p/B4OOB7Hnoma/?igshid=117j8q63li342 …",10/30/2019 0:26,MODELS INC.
8,"['modelsinc', 'inchella', 'beyoncehomecoming', 'beyhomecoming', 'homecomingbeyoncé', 'netflix', 'homecomingnetflix', 'beyonce', 'beychella']",0,0,0,M0delsInc," #modelsinc HOMECOMING! A Tribute by @M0delsInc To  beyonce at coachella @netflix netflixfilm #inchella 
.
.
.
#beyoncehomecoming #beyhomecoming #homecomingbeyoncé #netflix #homecomingnetflix #beyonce #beychella… https://www.instagram.com/p/B4NSapnnItG/?igshid=f1r0mus9huay …",10/29/2019 15:45,MODELS INC.
9,"['modelsinc', 'inchella', 'beyoncehomecoming', 'beyhomecoming', 'homecomingbeyoncé', 'netflix', 'homecomingnetflix', 'dmvevents', 'beyonce']",0,0,1,M0delsInc," #modelsinc HOMECOMING! A Tribute by @M0delsInc To  beyonce at coachella @netflix netflixfilm #inchella 
.
.
.
#beyoncehomecoming #beyhomecoming #homecomingbeyoncé #netflix #homecomingnetflix #dmvevents #beyonce… https://www.instagram.com/p/B4L1x3NnvIF/?igshid=9uiyml84ry2j …",10/29/2019 2:15,MODELS INC.
10,"['modelsinc', 'inchella', 'beyoncehomecoming', 'beyhomecoming', 'homecomingbeyoncé', 'netflix', 'homecomingnetflix', 'dmvevents', 'beyonce']",0,0,1,M0delsInc," #modelsinc HOMECOMING! A Tribute by @M0delsInc To  beyonce at coachella @netflix netflixfilm #inchella 
.
.
.
#beyoncehomecoming #beyhomecoming #homecomingbeyoncé #netflix #homecomingnetflix #dmvevents #beyonce… https://www.instagram.com/p/B4LSBpoH-9p/?igshid=1lsuzdr7of4m6 …",10/28/2019 21:03,MODELS INC.
11,"['modelsinc', 'inchella', 'beyoncehomecoming', 'beyhomecoming', 'homecomingbeyoncé', 'netflix', 'homecomingnetflix', 'dmvevents', 'beyonce']",0,0,0,M0delsInc," #modelsinc HOMECOMING! A Tribute by @M0delsInc To  beyonce at coachella @netflix netflixfilm #inchella 
.
.
.
#beyoncehomecoming #beyhomecoming #homecomingbeyoncé #netflix #homecomingnetflix #dmvevents #beyonce… https://www.instagram.com/p/B4KrfyLH5-K/?igshid=ucal56c8g7e5 …",10/28/2019 15:26,MODELS INC.
